ID,FPS,LOOPTYPE(0:SINGLE 1:LOOP 2:PING PONG),,,
RibbyBall,15,1,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,ORIGIN
resource/RibbyBall.png,0,0,321,402,7
resource/RibbyBall.png,321,0,320,402,7
resource/RibbyBall.png,641,0,325,402,7
resource/RibbyBall.png,966,0,332,402,7
resource/RibbyBall.png,1298,0,330,402,7
resource/RibbyBall.png,1628,0,330,402,7
resource/RibbyBall.png,1958,0,330,402,7
resource/RibbyBall.png,2288,0,332,402,7
resource/RibbyBall.png,2620,0,338,402,7
resource/RibbyBall.png,2958,0,331,402,7
resource/RibbyBall.png,3289,0,331,402,7
resource/RibbyBall.png,3620,0,338,402,7
resource/RibbyBall.png,3958,0,332,402,7
resource/RibbyBall.png,4290,0,330,402,7
resource/RibbyBall.png,4620,0,332,402,7
resource/RibbyBall.png,4952,0,338,402,7
resource/RibbyBall.png,5290,0,331,402,7
resource/RibbyBall.png,5621,0,326,402,7
resource/RibbyBall.png,5947,0,388,402,7
resource/RibbyBall.png,6335,0,456,402,7
resource/RibbyBall.png,6791,0,457,402,7
resource/RibbyBall.png,7248,0,488,402,7
resource/RibbyBall.png,7736,0,518,402,7
resource/RibbyBall.png,8254,0,543,402,7
resource/RibbyBall.png,8797,0,559,402,7
resource/RibbyBall.png,9356,0,565,402,7
resource/RibbyBall.png,9921,0,328,402,7
